http://lg.ams1.servermania.com/,,,,get,host,cmd,ping,traceroute,http://lg.ams1.servermania.com//ajax.php,AMS Amsterdam NL,"{'host': '', 'cmd': 'host'}"
http://atl.lg.virmach.com,,,,get,host,cmd,ping,traceroute,http://atl.lg.virmach.com/ajax.php,Atlanta United States,"{'host': '', 'cmd': 'host'}"
http://lg.alog.com.br/,,,,post,parameters,query,ping,traceroute,http://lg.alog.com.br//cgi-bin/lg.cgi,,"{'query': 'traceroute6', 'parameters': ''}"
http://dgcik.asuscomm.com/,,,,get,host,cmd,ping,traceroute,http://dgcik.asuscomm.com//ajax.php,伺服器 國分機房,"{'host': '', 'cmd': 'host'}"
http://103.125.232.232/,,,,get,host,cmd,ping,traceroute,http://103.125.232.232//ajax.php,Tsuen Wan Hong Kong,"{'host': '', 'cmd': 'host'}"
http://lg.lax1.servermania.com/,,,,get,host,cmd,ping,traceroute,http://lg.lax1.servermania.com//ajax.php,LAX Los Angeles CA,"{'host': '', 'cmd': 'host'}"
http://lg-netherlands.prometeus.net/,,,,get,host,cmd,ping,traceroute,http://lg-netherlands.prometeus.net//ajax.php,Milano Italy Amsterdam Netherlands Bucharest Romaia,"{'host': '', 'cmd': 'host'}"
http://w150.gubo.org/LookingGlass/,,,,get,host,cmd,ping,traceroute,http://w150.gubo.org/LookingGlass//ajax.php,San Jose USA,"{'host': '', 'cmd': 'host'}"
http://ca.lg.starrydns.com,,,,get,host,cmd,ping,traceroute,http://ca.lg.starrydns.com/ajax.php,Beauharnois Canada,"{'host': '', 'cmd': 'host'}"
https://my.fl-ix.net/lg/rs02-ipv4/route-search,,,,GET,net,,,,https://my.fl-ix.net/lg/rs02-ipv4/route-search/#,,"{'net': '', 'source_selector': 'protocol', 'source': ''}"
http://chi.lg.virmach.com,,,,get,host,cmd,ping,traceroute,http://chi.lg.virmach.com/ajax.php,Chicago United States,"{'host': '', 'cmd': 'host'}"
http://de.lg.protondns.net,,,,get,host,cmd,ping,traceroute,http://de.lg.protondns.net/ajax.php,Germany,"{'host': '', 'cmd': 'host'}"
https://lg.equinix.com.br,,,,post,parameters,query,ping,traceroute,https://lg.equinix.com.br/cgi-bin/lg.cgi,,"{'query': 'traceroute6', 'parameters': ''}"
http://lg.chidedicated.com/,,,,get,host,cmd,ping,traceroute,http://lg.chidedicated.com//ajax.php,Chicago Illinois USA,"{'host': '', 'cmd': 'host'}"
http://nj.lg.virmach.com,,,,get,host,cmd,ping,traceroute,http://nj.lg.virmach.com/ajax.php,Piscataway United States NYC,"{'host': '', 'cmd': 'host'}"
http://lg10.buana.net/,,,,get,host,cmd,ping,traceroute,http://lg10.buana.net//ajax.php,Indonesia Cyber,"{'host': '', 'cmd': 'host'}"
https://lg.miran.ru/,"RU, St-Petersburg, DC-1",routers,router1,post,parameter,query,ping,traceroute,https://lg.miran.ru//execute.php,RU St Petersburg,"{'parameter': '', 'dontlook': '', 'routers': 'router1', 'query': 'bgp'}"
https://lg.miran.ru/,"RU, St-Petersburg, DC-2",routers,router2,post,parameter,query,ping,traceroute,https://lg.miran.ru//execute.php,RU St Petersburg,"{'parameter': '', 'dontlook': '', 'routers': 'router1', 'query': 'bgp'}"
http://lg.hk-bgp.yecaoyun.com/,,,,get,host,cmd,ping,,http://lg.hk-bgp.yecaoyun.com//ajax.php,香港,"{'host': '', 'cmd': 'mtr'}"
http://lg.gmhost.com.ua/,,,,get,host,cmd,ping,traceroute,http://lg.gmhost.com.ua//ajax.php,Ukraine Estonia,"{'host': '', 'cmd': 'host'}"
http://lg.redeisp.com.br/,router01.poa - Juniper,router,router01.poa - Juniper,POST,addr,query,ping,trace,http://lg.redeisp.com.br//,,"{'query': 'trace', 'addr': '', 'protocol': 'IPv4', 'router': 'router01.poa - Juniper'}"
http://lg.redeisp.com.br/,router01.spo - Juniper,router,router01.spo - Juniper,POST,addr,query,ping,trace,http://lg.redeisp.com.br//,,"{'query': 'trace', 'addr': '', 'protocol': 'IPv4', 'router': 'router01.poa - Juniper'}"
http://lg.redeisp.com.br/,Data Telecom (AS 3327) *,router,r20-Tln-TIX,POST,addr,query,ping,trace,http://lg.redeisp.com.br//,,"{'query': 'trace', 'addr': '', 'protocol': 'IPv4', 'router': 'router01.poa - Juniper'}"
